domain,claim,supporting_reviews,contradicting_reviews,independence_concern,certainty,can_rule_in,can_rule_out,changes_surgical_decision,counseling_implication,research_need
Tap test / temporary CSF drainage,"A positive response to a tap test or temporary drainage can enrich the probability of postoperative response, but the test protocols, assessment timing, and response thresholds are heterogeneous; a negative result does not safely exclude shunt responsiveness.",FT-010; FT-012; FT-015; FT-016; FT-038; FT-043; FT-050; FT-053; FT-059,FT-011 and FT-029 describe inconsistent performance across individual modalities/series.,European/Dutch/Japanese drainage cohorts recur across several reviews; apparent replication is partly non-independent.,LOW to MODERATE for sensitivity; LOW/VERY LOW for specificity depending on test and synthesis,"PARTIAL — a clearly positive, objectively measured response may support selection when concordant with clinical/imaging evidence.",NO — negative TT should not be a stand-alone exclusion criterion.,"Supports multidisciplinary selection and may change confidence, not automatically determine surgery.",Explain that the test is probabilistic and protocol-dependent; nonresponse does not prove absence of potential benefit.,"Prospective all-comers cohorts, prespecified multidomain MCID/reliable-change criteria, and surgery irrespective of index-test result to reduce partial verification bias."
Lumbar infusion / resistance to CSF outflow,"Higher Rout is associated with greater odds of shunt response in some syntheses, but cutoffs and operating characteristics vary and negative predictive value is insufficient for exclusion.",FT-010; FT-012; FT-031; FT-044; FT-050; FT-059,FT-011 reports no consistently superior invasive or non-invasive technique; several primary studies in FT-044 found limited incremental value.,Dutch and European multicentre cohorts are repeatedly reused; threshold analyses within FT-044 overlap heavily.,LOW,PARTIAL — an abnormal Rout may strengthen the case in a compatible phenotype.,NO — normal/low Rout cannot reliably rule out response.,May refine probability when local expertise exists; should not be an isolated gatekeeper.,Discuss invasive burden and the possibility of response despite a negative/low-threshold result.,"Uniform infusion methods, externally validated thresholds, independent cohorts, and models combining Rout with clinical, imaging, and drainage-response data."
Extended lumbar drainage and intracranial pressure monitoring,"ELD and selected ICP-monitoring metrics showed comparatively strong diagnostic signals in some reviews, but estimates arise from small, selected cohorts with verification and spectrum-bias concerns.",FT-031; FT-036; FT-050; FT-059,FT-011 found insufficient evidence to establish one optimal predictive technique.,Several reviews share historical specialized-center cohorts; exact independence is not fully verified.,LOW,PARTIAL — a positive ELD/ICPM result may materially increase confidence.,NO — evidence is insufficient to use a negative result as a universal contraindication.,"Consider mainly in diagnostically uncertain patients at experienced centers, balancing invasiveness and complication risk.",Clarify that higher apparent accuracy may partly reflect patient selection and reference-standard verification.,"Prospective head-to-head comparisons with standardized reference outcomes, complete shunt verification, harms reporting, and decision-curve analysis."
Preoperative structural and physiological imaging,No single imaging marker consistently and strongly discriminates responders. Callosal angle and periventricular white-matter changes reached statistical significance in one meta-analysis but with weak diagnostic effect; DESH and other markers were inconsistent.,FT-022; FT-028; FT-029; FT-032; FT-034; FT-049,FT-028 reported weak statistical discrimination for callosal angle/PVWM; FT-029 found no repeatedly consistent imaging parameter.,The same imaging cohorts and publications appear in multiple reviews; independence is limited.,LOW,NO — imaging alone is insufficient to rule in clinically meaningful benefit.,"NO — absence of DESH, narrow callosal angle, or other single sign should not automatically exclude surgery.","Use imaging to support diagnosis, exclude alternatives, and contribute to a multimodal probability estimate rather than as a solitary selection rule.",Counsel that characteristic imaging increases diagnostic plausibility but does not guarantee postoperative improvement.,"Standardized acquisition/measurement, blinded thresholds, domain-specific outcomes, external validation, and incremental value beyond clinical/drainage tests."
"Biomarkers, Alzheimer pathology, and complex iNPH","CSF/venous biomarkers and Alzheimer-related pathology may be associated with postoperative outcome, especially cognition, but no biomarker has shown sufficiently robust sensitivity and specificity for stand-alone selection and no formal treatment-effect modification was established.",FT-003; FT-004; FT-030; FT-039,FT-030 and FT-039 emphasize inconsistent or insufficient evidence for many biomarkers.,Substantial overlap among biopsy/CSF biomarker cohorts is probable; exact cohort linkage remains incompletely verified.,VERY LOW to LOW,NO — biomarker positivity cannot by itself identify certain beneficiaries.,NO — comorbidity or Alzheimer-associated biomarkers should not be interpreted as proof of no shunt benefit.,"Primarily modifies counseling, expected domain profile, and uncertainty rather than creating an absolute surgical contraindication.",Explain that gait or urinary benefit may still occur even when cognitive recovery is limited by comorbidity.,"Prospective multimodal biomarker cohorts, standardized pathology definitions, domain-specific MCIDs, and formal treatment-by-marker interaction using an appropriate non-shunted comparator where ethically feasible."
Clinical phenotype and comorbidity,"Complex iNPH may have lower or more uncertain global response than pure iNPH, but available comparative evidence is imprecise and does not demonstrate absence of benefit; associations are prognostic, not causal treatment-effect modifiers.",FT-003; FT-013; FT-023,FT-003 found several complex-versus-pure comparisons non-significant under prespecified models.,Phenotype definitions and cohorts overlap; adjustment for confounding is inconsistent.,LOW to VERY LOW,NO — no single comorbidity or symptom pattern reliably rules in benefit.,"NO — diabetes, neurodegenerative overlap, atypical manifestations, or incomplete triad should not automatically rule out shunting.",Changes the expected magnitude/domain of response and the consent discussion more than the binary decision alone.,Set domain-specific expectations and distinguish potentially reversible iNPH symptoms from comorbidity-related limitations.,"Harmonized phenotype criteria, multivariable prognostic models, external validation, and reporting of absolute domain-specific benefit and harms."
Gait and mobility measurement,"Gait is the most consistently responsive domain, but instruments, task conditions, timing, and thresholds vary substantially; statistical change or group mean improvement is not equivalent to an individual MCID.",FT-016; FT-018; FT-020; FT-024; FT-038; FT-056,FT-020/FT-056 show methodological heterogeneity that limits direct comparison.,Primary gait cohorts recur across measurement reviews; many studies are cross-sectional or small.,MODERATE for postoperative gait improvement; LOW for any specific predictive cutoff,PARTIAL — reproducible objective gait improvement after drainage can support selection.,NO — absence of change on one gait metric or at one time point does not conclusively exclude later or domain-specific benefit.,Use a prespecified battery and repeated measurement rather than subjective gait impression alone.,"Explain learning effects, day-to-day variability, and delayed improvement; interpret change against validated/reliable thresholds when available.","Consensus core outcome set, iNPH-specific MCIDs/reliable-change indices, wearable validation, and standardized post-drainage timing."
Cognition and neuropsychiatric outcomes,"Cognitive and neuropsychiatric improvement occurs in a subset, but reported instruments and definitions are heterogeneous and often based on statistical or author-defined change rather than validated individual clinical importance.",FT-002; FT-005; FT-007; FT-008; FT-041,FT-002/FT-041 report variable or domain-dependent cognitive effects; atypical/neuropsychiatric evidence is sparse.,Repeated small neuropsychological cohorts and overlapping instruments may inflate apparent breadth.,LOW,NO — baseline cognitive profile alone does not reliably identify certain responders.,NO — severe or atypical cognitive/neuropsychiatric features require differential diagnosis but are not an evidence-based absolute exclusion in these reviews.,Use domain-specific testing and avoid defining success solely by MMSE or group-level mean change.,Counsel that gait may improve more reliably than cognition and that comorbid neurodegeneration may limit cognitive recovery.,"Prospective cognitive core battery, reliable-change/MCID criteria, assessor blinding, and longer follow-up with competing neurodegenerative diagnoses characterized."
"Function, quality of life, and patient/caregiver perception","Functional independence and quality of life can improve after shunting, but patient-reported and caregiver-reported outcomes are underused and definitions are inconsistent.",FT-025; FT-051; FT-059,No included review provides a uniformly validated patient-centered response definition across cohorts.,Outcome cohorts overlap with general shunt-outcome literature; reporting is selective.,LOW,NO,NO,"Add patient goals, caregiver observations, functional independence, and quality of life to the response framework rather than relying only on clinician-rated triad scores.",Frame benefit around activities meaningful to the patient and acknowledge that domain improvements may diverge.,"Validated iNPH patient-reported outcome measures, goal-attainment endpoints, caregiver instruments, and prespecified MCIDs."
"Sustained benefit, complications, reoperation, and net benefit","Early response does not guarantee sustained benefit, and complication/reoperation rates materially affect net clinical benefit; reviews use heterogeneous follow-up and older versus contemporary surgical cohorts. Baseline functional severity is also associated with long-term survival among shunted patients.",FT-013; FT-022; FT-045; FT-051; FT-053; FT-059; FT-019,"FT-053 reports high historical complication/reoperation ranges, whereas more contemporary series/reviews generally report better outcomes; direct comparability is limited.",Historical cohorts recur across reviews and surgical technology/selection evolved over time.,LOW to MODERATE for the existence of benefit/harms; LOW for individualized long-term prediction,NO,NO,"The decision should integrate expected domain-specific benefit, durability, frailty/comorbidity, valve strategy, and the risk of revision/complication.","Provide separate estimates for early response, sustained response, complications, and reoperation; avoid presenting response probability without harms.","Contemporary prospective registries with standardized long-term outcomes, competing-risk analysis, valve/shunt details, and individualized net-benefit prediction."
