analysis_cell,clinical_question,key_risk,anchor_reviews,anchor_review_n,any_robis_high,all_robis_low,robis_basis,all_primary_rob_assessed,all_rob_used_in_synthesis,any_validated_response_threshold,anchor_estimates_n,complete_ci_n,adjusted_estimates_n,overlap_coverage_fraction,overlap_cca,overlap_interpretation,robis_concern,primary_rob_integration_concern,precision_concern,directness_concern,response_definition_concern,overlap_concern,single_anchor_dependence_concern,causal_interpretation_concern,decision_support,framework_note
TAP_TEST_DTA,Can a tap test identify post-shunt responders?,Partial verification and negative-test misinterpretation,FT-012,1,TRUE,FALSE,FINAL_AUTHOR_CONSENSUS,TRUE,FALSE,FALSE,2,2,0,0.6,0.05882352941176472,MODERATE,HIGH_CONCERN,SOME_CONCERN,LOW_CONCERN,LOW_CONCERN,HIGH_CONCERN,SOME_CONCERN,HIGH_CONCERN,SOME_CONCERN,VERY_LIMITED,"Transparent categorical profile developed for this umbrella review; not GRADE, not a numerical score, and not a substitute for domain-specific judgment."
LIT_DTA,Can lumbar infusion testing identify responders?,Threshold/method heterogeneity and overlapping European/Dutch cohorts,FT-012,1,TRUE,FALSE,FINAL_AUTHOR_CONSENSUS,TRUE,FALSE,FALSE,2,2,0,0.6666666666666666,0.08641975308641978,MODERATE,HIGH_CONCERN,SOME_CONCERN,LOW_CONCERN,LOW_CONCERN,HIGH_CONCERN,SOME_CONCERN,HIGH_CONCERN,SOME_CONCERN,VERY_LIMITED,"Transparent categorical profile developed for this umbrella review; not GRADE, not a numerical score, and not a substitute for domain-specific judgment."
ROUT_THRESHOLDS,How do Rout thresholds change rule-in/rule-out performance?,Poor NPV and threshold-selection bias,FT-010,1,TRUE,FALSE,FINAL_AUTHOR_CONSENSUS,TRUE,FALSE,FALSE,9,9,0,0.5,0.2666666666666667,VERY_HIGH,HIGH_CONCERN,SOME_CONCERN,LOW_CONCERN,LOW_CONCERN,HIGH_CONCERN,SOME_CONCERN,HIGH_CONCERN,SOME_CONCERN,VERY_LIMITED,"Transparent categorical profile developed for this umbrella review; not GRADE, not a numerical score, and not a substitute for domain-specific judgment."
ELD_DTA,What is the accuracy of extended lumbar drainage?,"Small samples, verification bias, protocol variation",FT-036,1,FALSE,TRUE,FINAL_AUTHOR_CONSENSUS,TRUE,FALSE,FALSE,4,4,0,0.6666666666666666,0.02631578947368421,SLIGHT,LOW_CONCERN,SOME_CONCERN,LOW_CONCERN,LOW_CONCERN,HIGH_CONCERN,SOME_CONCERN,HIGH_CONCERN,SOME_CONCERN,LIMITED,"Transparent categorical profile developed for this umbrella review; not GRADE, not a numerical score, and not a substitute for domain-specific judgment."
COMPARATIVE_PROGNOSTIC_TESTS,Which supplemental test performs best?,"Different populations, thresholds, and reference standards",FT-031,1,TRUE,FALSE,FINAL_AUTHOR_CONSENSUS,TRUE,FALSE,FALSE,8,0,0,0.25,,NOT_ESTIMABLE,HIGH_CONCERN,SOME_CONCERN,HIGH_CONCERN,SOME_CONCERN,HIGH_CONCERN,HIGH_CONCERN,HIGH_CONCERN,SOME_CONCERN,VERY_LIMITED,"Transparent categorical profile developed for this umbrella review; not GRADE, not a numerical score, and not a substitute for domain-specific judgment."
STRUCTURAL_IMAGING,Do DESH/callosal angle/other markers predict response?,"Retrospective selection, cutoffs, shared cohorts",FT-028; FT-032,2,TRUE,FALSE,FINAL_AUTHOR_CONSENSUS,TRUE,FALSE,FALSE,9,4,0,0.16666666666666666,,NOT_ESTIMABLE,HIGH_CONCERN,SOME_CONCERN,SOME_CONCERN,SOME_CONCERN,HIGH_CONCERN,HIGH_CONCERN,SOME_CONCERN,HIGH_CONCERN,VERY_LIMITED,"Transparent categorical profile developed for this umbrella review; not GRADE, not a numerical score, and not a substitute for domain-specific judgment."
BIOMARKERS,Do CSF/venous biomarkers predict domain-specific response?,"Multiplicity, assay heterogeneity, copathology confounding",FT-030,1,TRUE,FALSE,FINAL_AUTHOR_CONSENSUS,TRUE,FALSE,FALSE,3,0,0,0.75,0.025641025641025644,SLIGHT,HIGH_CONCERN,SOME_CONCERN,HIGH_CONCERN,HIGH_CONCERN,HIGH_CONCERN,SOME_CONCERN,HIGH_CONCERN,HIGH_CONCERN,VERY_LIMITED,"Transparent categorical profile developed for this umbrella review; not GRADE, not a numerical score, and not a substitute for domain-specific judgment."
COMPLEX_PHENOTYPE,Does complex iNPH modify expected response?,"Author conflict, small k, phenotype misclassification",FT-003,1,FALSE,FALSE,FINAL_AUTHOR_CONSENSUS,TRUE,FALSE,FALSE,11,10,0,0.5,0,SLIGHT,SOME_CONCERN,SOME_CONCERN,SOME_CONCERN,HIGH_CONCERN,HIGH_CONCERN,SOME_CONCERN,HIGH_CONCERN,HIGH_CONCERN,VERY_LIMITED,"Transparent categorical profile developed for this umbrella review; not GRADE, not a numerical score, and not a substitute for domain-specific judgment."
COGNITIVE_CHANGE,How much cognition changes after shunting and how should it be measured?,"Practice effects, repeated measures, overlapping cohorts",FT-002,1,TRUE,FALSE,FINAL_AUTHOR_CONSENSUS,TRUE,FALSE,FALSE,11,9,0,0.75,0.07,MODERATE,HIGH_CONCERN,SOME_CONCERN,SOME_CONCERN,LOW_CONCERN,HIGH_CONCERN,SOME_CONCERN,HIGH_CONCERN,SOME_CONCERN,VERY_LIMITED,"Transparent categorical profile developed for this umbrella review; not GRADE, not a numerical score, and not a substitute for domain-specific judgment."
GAIT_CHANGE,Which gait metrics change after drainage/shunt?,Timing and threshold heterogeneity,FT-024,1,FALSE,TRUE,FINAL_AUTHOR_CONSENSUS,TRUE,FALSE,FALSE,1,0,0,0.3333333333333333,0.1578947368421053,VERY_HIGH,LOW_CONCERN,SOME_CONCERN,HIGH_CONCERN,LOW_CONCERN,HIGH_CONCERN,HIGH_CONCERN,HIGH_CONCERN,SOME_CONCERN,VERY_LIMITED,"Transparent categorical profile developed for this umbrella review; not GRADE, not a numerical score, and not a substitute for domain-specific judgment."
SURVIVAL,Does baseline severity predict long-term survival after shunting?,Reconstructed IPD and possible Swedish cohort overlap,FT-019,1,TRUE,FALSE,FINAL_AUTHOR_CONSENSUS,TRUE,FALSE,FALSE,4,4,0,1,,NOT_ESTIMABLE,HIGH_CONCERN,SOME_CONCERN,LOW_CONCERN,LOW_CONCERN,HIGH_CONCERN,LOW_CONCERN,HIGH_CONCERN,SOME_CONCERN,VERY_LIMITED,"Transparent categorical profile developed for this umbrella review; not GRADE, not a numerical score, and not a substitute for domain-specific judgment."
AI_MODELS,Are AI/ML models ready for clinical selection?,"Optimism, leakage, poor calibration reporting",FT-021,1,FALSE,FALSE,FINAL_AUTHOR_CONSENSUS,TRUE,FALSE,FALSE,,,,1,0.25,VERY_HIGH,SOME_CONCERN,SOME_CONCERN,NOT_ASSESSABLE,HIGH_CONCERN,HIGH_CONCERN,SOME_CONCERN,HIGH_CONCERN,HIGH_CONCERN,VERY_LIMITED,"Transparent categorical profile developed for this umbrella review; not GRADE, not a numerical score, and not a substitute for domain-specific judgment."
BENEFIT_HARM_DURABILITY,What is the net patient-centered benefit over time?,Outcome-definition and follow-up heterogeneity,FT-051; FT-053; FT-059,3,TRUE,FALSE,FINAL_AUTHOR_CONSENSUS,TRUE,FALSE,FALSE,,,,0.25,0,SLIGHT,HIGH_CONCERN,SOME_CONCERN,NOT_ASSESSABLE,LOW_CONCERN,HIGH_CONCERN,HIGH_CONCERN,SOME_CONCERN,SOME_CONCERN,VERY_LIMITED,"Transparent categorical profile developed for this umbrella review; not GRADE, not a numerical score, and not a substitute for domain-specific judgment."
