scenario,microcell_id,analysis_cell,anchor_review,retained,status,rule
main,COGNITIVE_CHANGE | Shunt surgery | Any cognitive improvement | Post-shunt; varied | Pooled proportion (%) | NA,COGNITIVE_CHANGE,FT-002,True,ANCHOR_RETAINED,"No alternative review is substituted unless it matches the same predictor, outcome, time, measure, and threshold."
main,COGNITIVE_CHANGE | Shunt surgery | Objectively defined cognitive improvement | Post-shunt; varied | Pooled proportion (%) | NA,COGNITIVE_CHANGE,FT-002,True,ANCHOR_RETAINED,"No alternative review is substituted unless it matches the same predictor, outcome, time, measure, and threshold."
main,COMPLEX_PHENOTYPE | Complex vs pure iNPH phenotype | Global shunt response | Varied follow-up | OR | NA,COMPLEX_PHENOTYPE,FT-003,True,ANCHOR_RETAINED,"No alternative review is substituted unless it matches the same predictor, outcome, time, measure, and threshold."
main,COMPLEX_PHENOTYPE | Complex vs pure iNPH phenotype | Urinary improvement | Mean ~4 months / varied | OR | NA,COMPLEX_PHENOTYPE,FT-003,True,ANCHOR_RETAINED,"No alternative review is substituted unless it matches the same predictor, outcome, time, measure, and threshold."
main,COMPLEX_PHENOTYPE | Complex iNPH; within-group pre-post | Post-shunt Cognition | Varied | SMCR | NA,COMPLEX_PHENOTYPE,FT-003,True,ANCHOR_RETAINED,"No alternative review is substituted unless it matches the same predictor, outcome, time, measure, and threshold."
main,COMPLEX_PHENOTYPE | Complex iNPH; within-group pre-post | Post-shunt Gait | Varied | SMCR | NA,COMPLEX_PHENOTYPE,FT-003,True,ANCHOR_RETAINED,"No alternative review is substituted unless it matches the same predictor, outcome, time, measure, and threshold."
main,COMPLEX_PHENOTYPE | Complex iNPH; within-group pre-post | Post-shunt General function | Varied | SMCR | NA,COMPLEX_PHENOTYPE,FT-003,True,ANCHOR_RETAINED,"No alternative review is substituted unless it matches the same predictor, outcome, time, measure, and threshold."
main,COMPLEX_PHENOTYPE | Complex iNPH; within-group pre-post | Post-shunt Incontinence | Varied | SMCR | NA,COMPLEX_PHENOTYPE,FT-003,True,ANCHOR_RETAINED,"No alternative review is substituted unless it matches the same predictor, outcome, time, measure, and threshold."
main,COMPLEX_PHENOTYPE | Complex minus pure iNPH phenotype | Difference in post-shunt Cognition change | Varied | Difference in SMCR | NA,COMPLEX_PHENOTYPE,FT-003,True,ANCHOR_RETAINED,"No alternative review is substituted unless it matches the same predictor, outcome, time, measure, and threshold."
main,COMPLEX_PHENOTYPE | Complex minus pure iNPH phenotype | Difference in post-shunt Gait change | Varied | Difference in SMCR | NA,COMPLEX_PHENOTYPE,FT-003,True,ANCHOR_RETAINED,"No alternative review is substituted unless it matches the same predictor, outcome, time, measure, and threshold."
main,COMPLEX_PHENOTYPE | Complex minus pure iNPH phenotype | Difference in post-shunt General function change | Varied | Difference in SMCR | NA,COMPLEX_PHENOTYPE,FT-003,True,ANCHOR_RETAINED,"No alternative review is substituted unless it matches the same predictor, outcome, time, measure, and threshold."
