finding_id,master_id,predictor_category,predictor,measurement_and_cutoff,preoperative_timing,outcome_domain,outcome_definition,response_definition_class,follow_up_category,reference_standard,association_direction,adjusted_or_unadjusted,covariates,studies_k,participants_n,synthesis_type,narrative_or_quantitative_result,evidence_type,clinical_interpretation,pdf,page_or_table,source_component
F-0001,FT-001,Hemodynamic imaging,Baseline global/regional cerebral blood flow,SPECT/PET/MRI perfusion; heterogeneous ROIs/cutoffs,Preoperative,Global response,Post-drainage or post-shunt clinical improvement,AUTHOR_DEFINED,INDETERMINADO,Clinical response after CSF drainage/shunt,NO CONSISTENT ASSOCIATION,UNADJUSTED/NR,NR,NÃO EXTRAÍVEL,NR,STRUCTURED NARRATIVE,Global and regional CBF were consistently reduced in NPH but baseline reductions were not predictive of shunt response.,RESPONSE_CLASSIFIER,Baseline hypoperfusion should not be used alone to deny shunting.,MESCLADOS 2,"M2 pp.48, 69-70",SYSTEMATIC_REVIEW_COMPONENT
F-0002,FT-001,Hemodynamic challenge,Cerebrovascular reactivity,Acetazolamide/SPECT or other vasoreactivity paradigms; heterogeneous thresholds,Preoperative,Global response,Clinical improvement after drainage/shunt,AUTHOR_DEFINED,INDETERMINADO,Clinical response after CSF drainage/shunt,POSITIVE ASSOCIATION,UNADJUSTED/NR,NR,Sparse; NÃO EXTRAÍVEL,NR,STRUCTURED NARRATIVE,Impaired/altered CVR showed greater promise than baseline CBF and was associated with clinical improvement in selected studies.,RESPONSE_CLASSIFIER,Potential rule-in adjunct only; evidence too sparse for exclusion decisions.,MESCLADOS 2,"M2 pp.48, 69-73",SYSTEMATIC_REVIEW_COMPONENT
F-0003,FT-001,Cerebral autoregulation,Dynamic autoregulation metrics,TCD/ICP-derived methods; heterogeneous,Preoperative,Global response,Clinical response after shunt/drainage,NOT_REPORTED,INDETERMINADO,Post-CSF diversion improvement,INCONSISTENT,UNADJUSTED/NR,NR,NÃO EXTRAÍVEL,NR,NARRATIVE,Autoregulation findings were heterogeneous and not established as a reproducible predictor.,RESPONSE_CLASSIFIER,Research-only at present.,MESCLADOS 2,M2 pp.48-77,SYSTEMATIC_REVIEW_COMPONENT
F-0004,FT-002,Outcome measurement,Use of core iNPH cognitive-domain tests,193 distinct tests; 54.4% of studies omitted all core deficits,Preoperative,Cognition,Post-shunt cognitive change,AUTHOR_DEFINED,INDETERMINADO,Within-subject post-shunt change,MEASUREMENT HETEROGENEITY,UNADJUSTED/NR,NR,195,11445,SYSTEMATIC MAPPING,"Cognitive assessment was highly heterogeneous; over half of studies did not assess processing speed, psychomotor speed or executive dysfunction.",OUTCOME_MEASUREMENT,Cognitive non-response may reflect insensitive instrument selection.,MESCLADOS 1,"M1 pp.191, 195-198",SYSTEMATIC_REVIEW_COMPONENT
F-0005,FT-002,Cognitive test,Trail Making Test A,Pooled unstandardized mean difference; clinical threshold based on normative SD/z-score,Preoperative,Cognition,Processing-speed change after shunt,VALIDATED_THRESHOLD,INDETERMINADO,Within-subject post-shunt change,IMPROVEMENT,UNADJUSTED/NR,NR,NR,NR,RANDOM-EFFECTS META-ANALYSIS,Pooled improvement exceeded the prespecified threshold for clinically meaningful change.,OUTCOME_MEASUREMENT,TMT-A is responsive to shunt-related cognitive change.,MESCLADOS 1,"M1 pp.193, 198-200",SYSTEMATIC_REVIEW_COMPONENT
F-0006,FT-002,Cognitive test,Grooved Pegboard—dominant hand,Pooled mean difference; normative SD/z-score benchmarks,Preoperative,Cognition,Psychomotor-speed change after shunt,VALIDATED_THRESHOLD,INDETERMINADO,Within-subject post-shunt change,IMPROVEMENT,UNADJUSTED/NR,NR,NR,NR,RANDOM-EFFECTS META-ANALYSIS,Pooled improvement exceeded thresholds for clinically meaningful change.,OUTCOME_MEASUREMENT,Useful domain-relevant endpoint; not a preoperative predictor.,MESCLADOS 1,"M1 pp.193, 198-200",SYSTEMATIC_REVIEW_COMPONENT
F-0007,FT-002,Cognitive test,Trail Making Test B,Pooled mean difference; normative SD/z-score benchmarks,Preoperative,Cognition,Executive-function change after shunt,VALIDATED_THRESHOLD,INDETERMINADO,Within-subject post-shunt change,IMPROVEMENT,UNADJUSTED/NR,NR,NR,NR,RANDOM-EFFECTS META-ANALYSIS,"Pooled improvement exceeded clinically meaningful thresholds, with greater heterogeneity than TMT-A/pegboard.",OUTCOME_MEASUREMENT,Potential core endpoint but heterogeneity requires standardized administration.,MESCLADOS 1,"M1 pp.193, 198-200",SYSTEMATIC_REVIEW_COMPONENT
F-0008,FT-002,Response definition,Reported post-shunt cognitive improvement rate,Study-author criteria; many arbitrary or subjective,Preoperative,Cognition,Responder proportion,AUTHOR_DEFINED,INDETERMINADO,Study-specific response,HETEROGENEOUS,UNADJUSTED/NR,NR,NÃO EXTRAÍVEL,NÃO EXTRAÍVEL,DESCRIPTIVE POOLING,"Pooled reported cognitive-improvement rate was 56.6%; objectively defined studies yielded 64.2%, but criteria and timing varied widely.",OUTCOME_MEASUREMENT,Do not equate pooled improvement proportions with a validated MCID.,MESCLADOS 1,M1 pp.196-198,SYSTEMATIC_REVIEW_COMPONENT
F-0009,FT-003,Comorbidity phenotype,Complex versus pure iNPH,Neurodegenerative/vascular/biomarker-defined complex phenotype,Preoperative,Global response,Study-defined global response after shunt,AUTHOR_DEFINED,INDETERMINADO,Pure iNPH among shunted patients,LOWER RESPONSE IN COMPLEX,UNADJUSTED/NR,NR,3,NR,HARTUNG-KNAPP RANDOM-EFFECTS,OR 0.31 (95% CI 0.09-1.10); directionally lower global response but not statistically conclusive.,PROGNOSTIC_FACTOR,Complex phenotype increases uncertainty but does not imply absence of benefit.,MESCLADOS 2,M2 pp.81-82,SYSTEMATIC_REVIEW_COMPONENT
F-0010,FT-003,Comorbidity phenotype,Complex versus pure iNPH,Same phenotype definition,Preoperative,Urinary,Study-defined urinary improvement,AUTHOR_DEFINED,INDETERMINADO,Pure iNPH among shunted patients,NO CLEAR DIFFERENCE,UNADJUSTED/NR,NR,3,NR,HARTUNG-KNAPP RANDOM-EFFECTS,OR 0.85 (95% CI 0.58-1.25).,PROGNOSTIC_FACTOR,Urinary benefit was not clearly attenuated by complex phenotype.,MESCLADOS 2,M2 pp.81-82,SYSTEMATIC_REVIEW_COMPONENT
